Name,X04.01.2018,X05.01.2018,X06.01.2018,X07.01.2018,X08.01.2018,X09.01.2018,X10.01.2018,X11.01.2018,X12.01.2018,X01.01.2019,X02.01.2019,X03.01.2019,X04.01.2019,X05.01.2019,X06.01.2019,X07.01.2019,X08.01.2019,X09.01.2019,X10.01.2019,X11.01.2019,X12.01.2019,X01.01.2020,X02.01.2020,X03.01.2020,X04.01.2020,X05.01.2020,X06.01.2020,X07.01.2020,X08.01.2020,X09.01.2020,X10.01.2020,X11.01.2020,X12.01.2020,X01.01.2021,X02.01.2021,X03.01.2021,X04.01.2021,X05.01.2021,X06.01.2021,X07.01.2021,X08.01.2021,X09.01.2021,X10.01.2021,X11.01.2021,X12.01.2021,X01.01.2022,X02.01.2022,X03.01.2022,X04.01.2022,X05.01.2022,X06.01.2022,X07.01.2022,X08.01.2022,X09.01.2022,X10.01.2022,X11.01.2022,X12.01.2022,X01.01.2023,X02.01.2023,X03.01.2023,X04.01.2023,X05.01.2023,X06.01.2023,X07.01.2023,X08.01.2023,X09.01.2023,X10.01.2023,X11.01.2023,X12.01.2023,X01.01.2024
CV-WD,0,594491,589763,597071,623033,564542,613326,505048,496168,530668,480276,542436,569154,568579,556762,580762,604302,570544,595024,507382,488695,514794,485078,195119,23296,27246,40740,47452,47130,49044,55189,49125,43844,40932,44308,55889,63821,1527,87313,103087,111665,114544,119470,114603,112902,85202,96766,138408,150194,162237,179134,163128,184782,184745,182944,164119,153039,146975,159951,185179,185874,201611,210815,202390,232094,207362,212115,184516,174829,0
WD-ED,0,419098,418202,422966,440030,398534,431325,356221,350258,375009,339835,382909,403991,403120,396929,412473,428666,405519,421800,359472,345790,363946,342470,140061,18184,20861,30248,34797,34604,35673,39926,35432,31267,29576,31921,39978,46226,817,62679,75318,80995,82950,85725,81909,80463,60860,69068,98534,107953,117176,130934,117905,132764,132633,129731,116300,108022,103467,114086,130727,132916,144085,151492,145489,165838,148477,151652,132041,124360,0
19-Dec,0,3774722,3755055,3656103,3773690,3455164,3941587,3264779,3094032,3424031,3198749,3560656,3666559,3677505,3547137,3647018,3728613,3558557,3859131,3284620,3113405,3374124,3248885,1451755,200176,234401,344720,390591,387193,403073,464026,413181,373600,344829,370359,459456,498187,16778,720162,806886,892515,988522,1038576,1014011,941714,747489,891001,1203424,1214423,1248841,1327579,1212414,1378843,1406215,1431719,1287302,1145629,1155184,1222820,1413827,1372050,1451164,1465658,1379073,1591392,1487599,1582774,1423365,1283213,0
MA-19,0,3526445,3515434,3424354,3533904,3234411,3685524,3055004,2894434,3200515,2981144,3313889,3414627,3426100,3300387,3400217,3471611,3307768,3581456,3051878,2896254,3124358,3004469,1354180,191050,224066,328911,371187,368346,384122,441091,391962,354805,327333,351333,434818,470534,15492,679502,761549,845337,935250,980264,956990,890847,707735,842441,1135682,1144948,1173794,1247499,1138109,1295314,1319076,1340760,1207773,1075615,1081030,1141066,1320294,1276925,1347643,1363509,1288338,1487590,1390533,1478145,1334249,1204363,0
OR-RR,0,1596777,1586466,1553577,1636037,1480923,1696014,1414791,1348031,1492480,1360327,1511015,1558150,1564173,1481655,1525392,1563337,1486825,1621414,1368360,1332159,1436337,1349189,620361,80984,93196,141551,164766,164981,173664,198188,174340,159235,146192,158001,201666,219516,5560,301956,338835,360479,389194,410551,401780,382892,299047,343996,489929,487953,502547,540132,477857,552811,562859,569324,513991,468193,468128,479033,566878,526372,567522,575481,547021,647978,597391,631538,564326,527200,0
LF-OR,0,1463673,1452605,1423514,1500655,1358062,1556815,1301491,1235371,1369196,1249928,1387246,1433242,1433875,1358146,1398586,1417941,1338483,1477561,1255325,1221003,1319777,1242316,579518,79014,90800,137346,159379,159684,167872,191243,168293,154214,141682,153011,194613,210311,5091,284322,317198,338430,365300,382368,374813,358149,282537,322671,455955,454699,465882,500122,443352,511186,518637,524038,473308,431460,430886,441330,521593,486604,524198,528502,502902,596184,550281,579646,518328,483571,0
WC-LF,0,1318028,1310412,1281820,1355576,1227420,1403906,1174796,1108756,1233097,1127369,1246891,1289786,1285572,1217130,1255272,1273841,1207010,1330424,1129774,1094474,1184397,1117052,534517,78783,90894,135506,155874,156098,163104,184659,162611,150345,138435,148795,188184,201475,4836,265416,293097,313411,339004,351881,344822,330545,266045,299731,418175,416695,424353,455138,403861,465126,472105,473884,428645,391447,393019,401873,472172,442585,475130,476860,453761,536043,499574,522016,469212,434266,0
PH-WC,0,1050336,1045698,1021948,1084389,986999,1134256,948891,889711,993438,909502,1001057,1038181,1033030,971755,1005369,1024893,980709,1076914,911995,881007,950323,900391,451293,74924,86025,125533,142703,142870,148788,167489,147487,137360,126069,135226,168860,179134,4275,228331,248026,266471,290129,298392,292483,281718,232012,257916,354817,351565,355886,378390,334492,387586,393576,391118,354938,324383,328906,335447,392578,368778,395784,391958,371811,438438,411710,426101,386225,353731,0
CN-PH,0,702076,716368,695393,732159,673318,771660,650297,614096,673082,619032,681277,701848,691614,656240,682121,700671,677671,738234,628296,607945,640983,617281,331010,65571,74818,106285,119790,120704,125772,140739,123662,115669,105782,113541,140792,149734,3630,182738,194191,212301,232192,235560,231013,223354,187942,207554,279463,274275,275602,292158,258279,299655,301922,294816,269782,249913,252553,257225,301764,284319,304495,301398,286485,335103,316819,322260,297622,271666,0
NC-CN,0,453853,472946,461953,484029,446147,517056,436347,411427,449492,412705,451881,471006,465363,439601,456387,469185,456445,498249,423631,409415,428227,409910,229310,50088,56547,78724,87752,87548,91781,103169,90125,85618,77280,83373,103088,109697,2004,132891,140612,153247,167522,169241,166949,160042,136654,150691,200755,196263,193867,208424,185863,214637,215737,213845,193857,177414,178426,181583,212237,199719,214757,212154,200844,236048,223174,229793,210339,189923,0
WP-NC,0,333152,374101,367262,383735,354504,411878,349861,329689,357964,330114,362429,377727,375529,354364,371241,381773,372462,405568,344786,334062,348091,333253,192080,45198,51501,70877,79203,79510,83580,93986,82263,78465,70574,75994,94006,99631,1799,118965,124811,135675,149155,150142,147782,141429,122106,134624,178671,173374,170510,182741,164718,189868,190907,189769,172061,157453,158993,161191,188061,176735,191238,188106,178985,210191,198702,205132,187149,168311,0
PC-WP,0,24247,180615,180740,186636,175902,209224,176911,166541,179600,167274,186398,194592,194655,182065,191974,199898,197788,215387,182366,176446,182578,174503,101349,25870,29744,39191,42325,43061,45879,51757,44687,43008,37972,42172,51847,55419,1003,66327,69134,76621,86922,86110,85592,81499,69754,77832,104210,101659,95862,104802,94075,109880,110449,110185,97415,87817,89578,91310,105801,100792,109163,106939,101698,121778,112859,113322,101810,89350,0
AN-PC,0,19259,137649,136090,142808,132819,150631,128235,121712,132385,121987,135812,141077,139417,130974,136717,142218,139728,152579,131199,127258,130768,123898,70145,17008,19758,26348,28767,29191,32151,36045,31077,29432,26057,29602,36525,40007,737,48702,52682,57798,65050,63686,64109,61336,52030,57934,79397,77249,76862,80516,71810,84748,84534,84049,74455,67351,69535,70421,82246,77853,84350,84128,79157,94755,88313,88374,79416,69216,0
MA-MRA,0,3285744,3277428,3198493,3304143,3024827,3440916,2855739,2705530,2987071,2781056,3088644,3178193,3186927,3070027,3166934,3227140,3073713,3325524,2834995,2694001,2898160,2789033,1264721,180800,210974,310724,350885,348317,363523,416915,369225,335365,308909,331325,409578,441285,14078,634140,709312,789970,873195,915564,894433,832894,662571,787652,1058590,1070490,1094574,1162214,1061352,1209038,1230120,1249406,1126010,1002435,1006775,1063085,1231507,1190000,1255704,1269031,1202538,1392512,1301135,1382297,1250918,1128617,0
RR-MRA,0,1816212,1810448,1770383,1849238,1673189,1920741,1601494,1530930,1696023,1548153,1719137,1770526,1779215,1695916,1739344,1784480,1692921,1844509,1560358,1520103,1636606,1538559,692164,85089,98761,150468,173880,174111,183359,209590,185192,168609,154776,168086,215667,236719,6043,334701,378637,403126,437496,466391,457156,432838,334297,389470,558471,553023,571177,614647,542150,626953,638827,647727,584653,532443,532859,551052,647230,604469,653818,663133,624470,735451,678748,721060,648805,606130,0
AS-MRA,0,1616610,1612592,1573020,1602931,1497578,1681027,1383695,1293278,1423002,1360279,1505039,1544777,1548328,1508357,1570108,1582642,1519922,1629831,1404861,1289336,1389282,1377014,634641,107387,124685,177510,196673,194386,200456,229923,204611,185100,171623,181961,215689,227120,8495,329787,364099,427794,487191,502477,486849,444528,366768,445252,556345,572911,577985,602499,571584,642077,654429,665183,598899,518890,526766,564915,642995,641435,660626,665034,638216,726091,691361,732003,666751,579931,0
BK-AS,0,1422041,1418064,1387915,1413631,1326700,1486210,1223287,1144398,1249499,1202197,1328524,1362322,1363832,1328331,1387608,1399612,1344868,1438396,1241591,1141399,1219592,1215480,567984,99890,115713,164526,182383,180514,185635,212227,188429,171518,158456,167541,195971,204954,8046,298023,329178,389396,446761,458504,444805,405843,335412,407362,506381,521456,523591,543010,517516,584245,596069,603523,544430,470327,477727,511470,583553,581118,594292,597008,576638,656612,624886,661646,604793,523740,0
NB-BK,0,1049234,1012212,976806,1033710,970142,1092672,909667,871839,944409,881033,975961,998302,1015733,955169,979291,1016715,990037,1061683,916675,875700,925656,894984,444150,89383,102731,144040,159136,157495,161864,182723,162018,150220,137102,143818,162342,166891,6597,245369,263534,294272,329042,336652,326330,314963,263594,303560,375096,379946,396579,397820,367759,426543,441570,445304,403716,367549,368957,383769,439689,427596,457941,449852,421750,484215,460441,487653,444832,402055,0
EP-NB,0,844657,812157,788272,839170,783678,883770,739798,706361,759557,710876,786162,804874,816758,767366,792060,823351,804573,866007,747950,716375,754071,728908,379615,84093,95874,133156,147214,145368,149419,168215,148589,138807,126015,131950,146666,147584,6175,212969,224752,251142,280450,289819,279316,268114,228310,259313,317263,319931,332012,333081,307829,356701,368861,369465,336307,307045,307232,319084,364856,355102,378924,370060,349780,401029,383183,404559,368837,332122,0
EN-EP,0,616107,592507,576949,612759,570052,643107,540816,513094,551179,514229,565923,584165,595057,560224,580518,603758,588758,634500,549888,525565,551941,531833,294443,73409,83229,113979,125668,123066,125947,140474,123500,115915,104320,109165,117569,115988,5596,168663,175283,196544,218622,225094,216665,208537,180844,201410,244664,246125,255962,257011,237422,273887,282639,283738,258373,236268,235681,244069,278668,271870,290825,283194,269009,306526,293024,309606,282402,253201,0
RM-EN,0,211385,204525,202234,215627,203987,228792,193493,182703,197003,183447,205301,212843,218305,207701,218451,227932,223113,239120,208926,199668,208232,202417,118367,34423,39733,52229,57518,56017,56463,62249,55342,51700,41106,43035,56055,61986,2403,71457,74037,82309,90534,92794,88748,85373,75007,81718,99004,99312,104358,103517,96621,111044,114066,115971,105121,96542,95738,97335,110462,109621,116803,113659,109203,122655,118241,124206,114625,102884,0
